@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute width-1 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1578,'2018/12/11 19:00:06:559',5,19.838301,2
1579,'2018/12/11 19:00:06:593',5,19.897709,2
1580,'2018/12/11 19:00:06:626',5,19.705347,2
1581,'2018/12/11 19:00:06:659',5,19.731653,2
1582,'2018/12/11 19:00:06:692',5,19.512886,2
1583,'2018/12/11 19:00:06:727',5,19.753923,2
1584,'2018/12/11 19:00:06:760',5,19.697243,2
1585,'2018/12/11 19:00:06:792',5,19.518515,2
1586,'2018/12/11 19:00:06:826',5,19.585878,2
1587,'2018/12/11 19:00:06:839',5,19.417719,2
1588,'2018/12/11 19:00:06:875',5,19.270561,2
1589,'2018/12/11 19:00:06:909',5,19.419243,2
1590,'2018/12/11 19:00:06:939',5,19.416697,2
1591,'2018/12/11 19:00:06:974',5,19.122396,2
1592,'2018/12/11 19:00:07:008',5,19.258192,2
1593,'2018/12/11 19:00:07:041',5,19.385382,2
1594,'2018/12/11 19:00:07:074',5,19.393677,2
1595,'2018/12/11 19:00:07:110',5,19.34412,2
1596,'2018/12/11 19:00:07:143',5,19.118042,2
1597,'2018/12/11 19:00:07:192',5,19.221933,2
1598,'2018/12/11 19:00:07:226',5,19.07703,2
1599,'2018/12/11 19:00:07:260',5,19.071625,2
1600,'2018/12/11 19:00:07:293',5,18.962929,2
1601,'2018/12/11 19:00:07:334',5,19.250858,2
1602,'2018/12/11 19:00:07:359',5,19.617498,2
1603,'2018/12/11 19:00:07:392',5,19.33313,2
1604,'2018/12/11 19:00:07:405',5,19.181072,2
1605,'2018/12/11 19:00:07:442',5,19.056618,2
1606,'2018/12/11 19:00:07:475',5,19.006706,2
1607,'2018/12/11 19:00:07:508',5,19.215195,2
1608,'2018/12/11 19:00:07:542',5,19.281233,2
1609,'2018/12/11 19:00:07:575',5,19.245119,2
1610,'2018/12/11 19:00:07:622',5,18.560341,2
1611,'2018/12/11 19:00:07:657',5,18.920763,2
1612,'2018/12/11 19:00:07:691',5,19.047657,2
1613,'2018/12/11 19:00:07:725',5,19.14189,2
1614,'2018/12/11 19:00:07:759',5,18.685656,2
1615,'2018/12/11 19:00:07:794',5,18.589655,2
1616,'2018/12/11 19:00:07:826',5,18.836296,2
1617,'2018/12/11 19:00:07:859',5,18.221811,2
1618,'2018/12/11 19:00:07:893',5,18.256058,2
1619,'2018/12/11 19:00:07:926',5,18.589731,2
1620,'2018/12/11 19:00:07:960',5,18.689297,2
1621,'2018/12/11 19:00:07:993',5,18.628534,2
1622,'2018/12/11 19:00:08:005',5,18.601604,2
1623,'2018/12/11 19:00:08:041',5,18.541908,2
1624,'2018/12/11 19:00:08:093',5,18.584644,2
1625,'2018/12/11 19:00:08:106',5,18.717035,2
1626,'2018/12/11 19:00:08:140',5,18.470036,2
1627,'2018/12/11 19:00:08:175',5,18.669697,2
1628,'2018/12/11 19:00:08:209',5,18.761053,2
1629,'2018/12/11 19:00:08:260',5,18.840809,2
1630,'2018/12/11 19:00:08:290',5,18.878536,2
1631,'2018/12/11 19:00:08:326',5,19.131693,2
1632,'2018/12/11 19:00:08:340',5,18.847696,2
1633,'2018/12/11 19:00:08:376',5,18.837969,2
1634,'2018/12/11 19:00:08:426',5,18.809731,2
1635,'2018/12/11 19:00:08:439',5,18.99111,2
1636,'2018/12/11 19:00:08:475',5,18.752338,2
1637,'2018/12/11 19:00:08:526',5,18.718328,2
1638,'2018/12/11 19:00:08:559',5,18.973413,2
1639,'2018/12/11 19:00:08:593',5,18.931807,2
1640,'2018/12/11 19:00:08:606',5,18.952927,2
1641,'2018/12/11 19:00:08:660',5,18.779753,2
1642,'2018/12/11 19:00:08:693',5,18.907257,2
1643,'2018/12/11 19:00:08:706',5,18.879934,2
1644,'2018/12/11 19:00:08:760',5,19.213802,2
1645,'2018/12/11 19:00:08:793',5,19.050867,2
1646,'2018/12/11 19:00:08:826',5,18.895103,2
1647,'2018/12/11 19:00:08:860',5,18.750004,2
1648,'2018/12/11 19:00:08:893',5,18.71254,2
1649,'2018/12/11 19:00:08:926',5,18.771521,2
1650,'2018/12/11 19:00:08:959',5,18.863914,2
1651,'2018/12/11 19:00:08:993',5,19.014385,2
1652,'2018/12/11 19:00:09:026',5,19.006405,2
1653,'2018/12/11 19:00:09:059',5,18.898312,2
1654,'2018/12/11 19:00:09:093',5,18.916586,2
1655,'2018/12/11 19:00:09:126',5,19.038681,2
1656,'2018/12/11 19:00:09:158',5,18.909008,2
1657,'2018/12/11 19:00:09:192',5,19.102577,2
1658,'2018/12/11 19:00:09:226',5,19.196663,2
1659,'2018/12/11 19:00:09:259',5,19.241402,2
1660,'2018/12/11 19:00:09:293',5,19.094362,2
1661,'2018/12/11 19:00:09:326',5,19.02458,2
1662,'2018/12/11 19:00:09:360',5,19.077555,2
1663,'2018/12/11 19:00:09:394',5,19.363655,2
1664,'2018/12/11 19:00:09:423',5,19.192019,2
1665,'2018/12/11 19:00:09:459',5,19.301847,2
1666,'2018/12/11 19:00:09:492',5,19.009726,2
1667,'2018/12/11 19:00:09:526',5,19.164072,2
1668,'2018/12/11 19:00:09:560',5,19.336159,2
1669,'2018/12/11 19:00:09:593',5,19.194773,2
1670,'2018/12/11 19:00:09:626',5,19.012764,2
1671,'2018/12/11 19:00:09:658',5,19.195734,2
1672,'2018/12/11 19:00:09:693',5,19.053013,2
1673,'2018/12/11 19:00:09:726',5,19.104103,2
1674,'2018/12/11 19:00:09:760',5,19.252834,2
1675,'2018/12/11 19:00:09:794',5,19.243107,2
1676,'2018/12/11 19:00:09:826',5,19.245962,2
1677,'2018/12/11 19:00:09:859',5,19.185041,2
1678,'2018/12/11 19:00:09:889',5,19.242172,2
1679,'2018/12/11 19:00:09:926',5,19.282816,2
1680,'2018/12/11 19:00:09:959',5,19.371435,2
1681,'2018/12/11 19:00:09:992',5,19.448715,2
1682,'2018/12/11 19:00:10:026',5,19.400682,2
1683,'2018/12/11 19:00:10:060',5,19.231827,2
1684,'2018/12/11 19:00:10:092',5,19.057863,2
1685,'2018/12/11 19:00:10:126',5,19.059568,2
1686,'2018/12/11 19:00:10:158',5,19.058611,2
1687,'2018/12/11 19:00:10:193',5,19.055529,2
1688,'2018/12/11 19:00:10:226',5,19.111719,2
1689,'2018/12/11 19:00:10:260',5,19.202869,2
1690,'2018/12/11 19:00:10:292',5,19.046324,2
1691,'2018/12/11 19:00:10:326',5,18.996717,2
1692,'2018/12/11 19:00:10:356',5,19.0784,2
1693,'2018/12/11 19:00:10:391',5,19.169189,2
1694,'2018/12/11 19:00:10:426',5,19.22525,2
1695,'2018/12/11 19:00:10:460',5,19.076687,2
1696,'2018/12/11 19:00:10:493',5,18.861712,2
1697,'2018/12/11 19:00:10:526',5,18.278204,2
1698,'2018/12/11 19:00:10:557',5,17.488895,2
1699,'2018/12/11 19:00:10:592',5,17.179115,2
1700,'2018/12/11 19:00:10:623',5,16.770597,2
1701,'2018/12/11 19:00:10:658',5,16.380604,2
1702,'2018/12/11 19:00:10:693',5,16.199856,2
1703,'2018/12/11 19:00:10:726',5,16.069822,2
1704,'2018/12/11 19:00:10:759',5,16.232765,2
1705,'2018/12/11 19:00:10:793',5,15.895641,2
